x,u0,uf
0.00000e+00,0.00000e+00,0.00000e+00
5.00000e-02,0.00000e+00,0.00000e+00
1.00000e-01,0.00000e+00,0.00000e+00
1.50000e-01,0.00000e+00,0.00000e+00
2.00000e-01,0.00000e+00,0.00000e+00
2.50000e-01,0.00000e+00,0.00000e+00
3.00000e-01,0.00000e+00,0.00000e+00
3.50000e-01,0.00000e+00,0.00000e+00
4.00000e-01,0.00000e+00,0.00000e+00
4.50000e-01,0.00000e+00,0.00000e+00
5.00000e-01,1.00000e+00,4.84969e-12
5.50000e-01,1.00000e+00,1.69739e-10
6.00000e-01,1.00000e+00,2.91790e-09
6.50000e-01,1.00000e+00,3.28423e-08
7.00000e-01,1.00000e+00,2.72237e-07
7.50000e-01,1.00000e+00,1.77245e-06
8.00000e-01,1.00000e+00,9.44018e-06
8.50000e-01,1.00000e+00,4.23019e-05
9.00000e-01,1.00000e+00,1.62795e-04
9.50000e-01,1.00000e+00,5.46587e-04
1.00000e+00,1.00000e+00,1.62121e-03
1.05000e+00,0.00000e+00,4.29147e-03
1.10000e+00,0.00000e+00,1.02254e-02
1.15000e+00,0.00000e+00,2.20932e-02
1.20000e+00,0.00000e+00,4.35683e-02
1.25000e+00,0.00000e+00,7.88828e-02
1.30000e+00,0.00000e+00,1.31853e-01
1.35000e+00,0.00000e+00,2.04552e-01
1.40000e+00,0.00000e+00,2.96076e-01
1.45000e+00,0.00000e+00,4.01968e-01
1.50000e+00,0.00000e+00,5.14665e-01
1.55000e+00,0.00000e+00,6.24876e-01
1.60000e+00,0.00000e+00,7.23374e-01
1.65000e+00,0.00000e+00,8.02480e-01
1.70000e+00,0.00000e+00,8.56755e-01
1.75000e+00,0.00000e+00,8.82902e-01
1.80000e+00,0.00000e+00,8.79336e-01
1.85000e+00,0.00000e+00,8.45962e-01
1.90000e+00,0.00000e+00,7.84454e-01
1.95000e+00,0.00000e+00,6.98819e-01
2.00000e+00,0.00000e+00,5.95700e-01
