t,x1,x2
1.50000e-01,2.55107e+01,6.16398e+01
3.00000e-01,2.49322e+01,6.33911e+01
4.50000e-01,2.49405e+01,6.49301e+01
6.00000e-01,2.60053e+01,6.67802e+01
7.50000e-01,2.72121e+01,6.86775e+01
9.00000e-01,2.74816e+01,7.02447e+01
1.05000e+00,2.68462e+01,7.20213e+01
1.20000e+00,2.70991e+01,7.35847e+01
1.35000e+00,2.82986e+01,7.54799e+01
1.50000e+00,2.93744e+01,7.73337e+01
1.65000e+00,2.93996e+01,7.88723e+01
1.80000e+00,2.88137e+01,8.06270e+01
1.95000e+00,2.93080e+01,8.22610e+01
2.10000e+00,3.05869e+01,8.41792e+01
2.25000e+00,3.14827e+01,8.59661e+01
2.40000e+00,3.12536e+01,8.75547e+01
2.55000e+00,3.08300e+01,8.92306e+01
2.70000e+00,3.15573e+01,9.09518e+01
2.85000e+00,3.28586e+01,9.28759e+01
3.00000e+00,3.35384e+01,9.45787e+01
3.15000e+00,3.30711e+01,9.62763e+01
3.30000e+00,3.28965e+01,9.78467e+01
3.45000e+00,3.38335e+01,9.96494e+01
3.60000e+00,3.51004e+01,1.01564e+02
3.75000e+00,3.55444e+01,1.03181e+02
3.90000e+00,3.49392e+01,1.04945e+02
4.05000e+00,3.50161e+01,1.06484e+02
4.20000e+00,3.61238e+01,1.08349e+02
4.35000e+00,3.72995e+01,1.10237e+02
4.50000e+00,3.75014e+01,1.11790e+02
4.65000e+00,3.68691e+01,1.13565e+02
4.80000e+00,3.71895e+01,1.15145e+02
4.95000e+00,3.84167e+01,1.17049e+02
5.10000e+00,3.94469e+01,1.18886e+02
5.25000e+00,3.94028e+01,1.20429e+02
5.40000e+00,3.88503e+01,1.22168e+02
5.55000e+00,3.94108e+01,1.23826e+02
5.70000e+00,4.07016e+01,1.25748e+02
5.85000e+00,4.15403e+01,1.27512e+02
6.00000e+00,4.12394e+01,1.29130e+02
6.15000e+00,4.08802e+01,1.30774e+02
6.30000e+00,4.16689e+01,1.32520e+02
6.45000e+00,4.29664e+01,1.34443e+02
6.60000e+00,4.35818e+01,1.36121e+02
6.75000e+00,4.30644e+01,1.37843e+02
6.90000e+00,4.29612e+01,1.39396e+02
7.05000e+00,4.39503e+01,1.41218e+02
7.20000e+00,4.51975e+01,1.43127e+02
7.35000e+00,4.55744e+01,1.44723e+02
7.50000e+00,4.49510e+01,1.46495e+02
7.65000e+00,4.50960e+01,1.48040e+02
7.80000e+00,4.62424e+01,1.49918e+02
7.95000e+00,4.73828e+01,1.51794e+02
8.10000e+00,4.75170e+01,1.53337e+02
8.25000e+00,4.68959e+01,1.55108e+02
8.40000e+00,4.72835e+01,1.56707e+02
8.55000e+00,4.85342e+01,1.58617e+02
8.70000e+00,4.95152e+01,1.60437e+02
8.85000e+00,4.94006e+01,1.61992e+02
9.00000e+00,4.88906e+01,1.63710e+02
9.15000e+00,4.95165e+01,1.65392e+02
9.30000e+00,5.08148e+01,1.67316e+02
9.45000e+00,5.15938e+01,1.69057e+02
9.60000e+00,5.12239e+01,1.70707e+02
9.75000e+00,5.09344e+01,1.72319e+02
9.90000e+00,5.17824e+01,1.74088e+02
1.00500e+01,5.30716e+01,1.76009e+02
1.02000e+01,5.36216e+01,1.77663e+02
1.03500e+01,5.30631e+01,1.79404e+02
1.05000e+01,5.30302e+01,1.80947e+02
1.06500e+01,5.40679e+01,1.82787e+02
1.08000e+01,5.52910e+01,1.84689e+02
1.09500e+01,5.56006e+01,1.86266e+02
1.11000e+01,5.49672e+01,1.88042e+02
1.12500e+01,5.51800e+01,1.89597e+02
1.14000e+01,5.63610e+01,1.91486e+02
1.15500e+01,5.74620e+01,1.93349e+02
1.17000e+01,5.75280e+01,1.94888e+02
1.18500e+01,5.69265e+01,1.96650e+02
1.20000e+01,5.73812e+01,1.98270e+02
1.21500e+01,5.86509e+01,2.00186e+02
1.23000e+01,5.95793e+01,2.01985e+02
1.24500e+01,5.93930e+01,2.03559e+02
1.26000e+01,5.89347e+01,2.05253e+02
1.27500e+01,5.96247e+01,2.06959e+02
1.29000e+01,6.09262e+01,2.08883e+02
1.30500e+01,6.16434e+01,2.10601e+02
1.32000e+01,6.12101e+01,2.12281e+02
1.33500e+01,6.09926e+01,2.13866e+02
1.35000e+01,6.18974e+01,2.15656e+02
1.36500e+01,6.31739e+01,2.17574e+02
1.38000e+01,6.36575e+01,2.19204e+02
1.39500e+01,6.30671e+01,2.20961e+02
1.41000e+01,6.31034e+01,2.22499e+02
1.42500e+01,6.41861e+01,2.24356e+02
1.44000e+01,6.53808e+01,2.26249e+02
1.45500e+01,6.56228e+01,2.27810e+02
1.47000e+01,6.49877e+01,2.29587e+02
1.48500e+01,6.52680e+01,2.31156e+02
1.50000e+01,6.64794e+01,2.33055e+02
