t,x1,x2,E
1.50000e-01,-1.90849e-01,2.92028e-01,3.75537e+00
3.00000e-01,1.27992e-01,7.38945e-02,3.88282e+00
4.50000e-01,4.43354e-01,-1.45494e-01,3.69499e+00
6.00000e-01,7.42169e-01,-3.57223e-01,3.22255e+00
7.50000e-01,1.01201e+00,-5.52727e-01,2.54251e+00
9.00000e-01,1.24162e+00,-7.24146e-01,1.76567e+00
1.05000e+00,1.42135e+00,-8.64636e-01,1.01860e+00
1.20000e+00,1.54357e+00,-9.68654e-01,4.22991e-01
1.35000e+00,1.60302e+00,-1.03218e+00,7.58972e-02
1.50000e+00,1.59697e+00,-1.05286e+00,3.38773e-02
1.65000e+00,1.52541e+00,-1.03013e+00,3.03809e-01
1.80000e+00,1.39100e+00,-9.65201e-01,8.41763e-01
1.95000e+00,1.19898e+00,-8.61017e-01,1.56015e+00
2.10000e+00,9.56981e-01,-7.22129e-01,2.34197e+00
2.25000e+00,6.74701e-01,-5.54496e-01,3.05989e+00
2.40000e+00,3.63513e-01,-3.65241e-01,3.59694e+00
2.55000e+00,3.60069e-02,-1.62347e-01,3.86558e+00
2.70000e+00,-2.94528e-01,4.56732e-02,3.82196e+00
2.85000e+00,-6.14641e-01,2.50130e-01,3.47306e+00
3.00000e+00,-9.11274e-01,4.42517e-01,2.87557e+00
3.15000e+00,-1.17229e+00,6.14867e-01,2.12667e+00
3.30000e+00,-1.38698e+00,7.60076e-01,1.34822e+00
3.45000e+00,-1.54650e+00,8.72198e-01,6.66928e-01
3.60000e+00,-1.64422e+00,9.46688e-01,1.93737e-01
3.75000e+00,-1.67602e+00,9.80588e-01,5.74829e-03
3.90000e+00,-1.64046e+00,9.72648e-01,1.33676e-01
4.05000e+00,-1.53881e+00,9.23370e-01,5.56836e-01
4.20000e+00,-1.37505e+00,8.34987e-01,1.20650e+00
4.35000e+00,-1.15567e+00,7.11364e-01,1.97706e+00
4.50000e+00,-8.89454e-01,5.57837e-01,2.74322e+00
4.65000e+00,-5.87065e-01,3.80985e-01,3.38037e+00
4.80000e+00,-2.60658e-01,1.88355e-01,3.78485e+00
4.95000e+00,7.66267e-02,-1.18542e-02,3.89083e+00
5.10000e+00,4.11201e-01,-2.11138e-01,3.68103e+00
5.25000e+00,7.29576e-01,-4.01036e-01,3.18950e+00
5.40000e+00,1.01891e+00,-5.73494e-01,2.49613e+00
5.55000e+00,1.26755e+00,-7.21193e-01,1.71363e+00
5.70000e+00,1.46547e+00,-8.37859e-01,9.69207e-01
5.85000e+00,1.60469e+00,-9.18524e-01,3.83886e-01
6.00000e+00,1.67965e+00,-9.59738e-01,5.28040e-02
6.15000e+00,1.68735e+00,-9.59708e-01,2.97523e-02
6.30000e+00,1.62753e+00,-9.18378e-01,3.18427e-01
6.45000e+00,1.50267e+00,-8.37429e-01,8.71833e-01
6.60000e+00,1.31788e+00,-7.20216e-01,1.59993e+00
6.75000e+00,1.08069e+00,-5.71624e-01,2.38429e+00
6.90000e+00,8.00733e-01,-3.97868e-01,3.09736e+00
7.05000e+00,4.89383e-01,-2.06235e-01,3.62321e+00
7.20000e+00,1.59258e-01,-4.78021e-03,3.87641e+00
7.35000e+00,-1.76279e-01,1.98005e-01,3.81587e+00
7.50000e+00,-5.03669e-01,3.93552e-01,3.45158e+00
7.65000e+00,-8.09707e-01,5.73566e-01,2.84293e+00
7.80000e+00,-1.08208e+00,7.30381e-01,2.08904e+00
7.95000e+00,-1.30987e+00,8.57271e-01,1.31264e+00
8.10000e+00,-1.48400e+00,9.48741e-01,6.40075e-01
8.25000e+00,-1.59757e+00,1.00076e+00,1.80761e-01
8.40000e+00,-1.64619e+00,1.01091e+00,9.36320e-03
8.55000e+00,-1.62810e+00,9.78542e-01,1.53664e-01
8.70000e+00,-1.54429e+00,9.04750e-01,5.90049e-01
8.85000e+00,-1.39838e+00,7.92369e-01,1.24736e+00
9.00000e+00,-1.19656e+00,6.45850e-01,2.01850e+00
9.15000e+00,-9.47244e-01,4.71081e-01,2.77785e+00
9.30000e+00,-6.60785e-01,2.75153e-01,3.40174e+00
9.45000e+00,-3.49014e-01,6.60622e-02,3.78858e+00
9.60000e+00,-2.47592e-02,-1.47608e-01,3.87541e+00
9.75000e+00,2.98677e-01,-3.57048e-01,3.64812e+00
9.90000e+00,6.08067e-01,-5.53577e-01,3.14377e+00
1.00500e+01,8.90802e-01,-7.29007e-01,2.44453e+00
1.02000e+01,1.13541e+00,-8.75982e-01,1.66433e+00
1.03500e+01,1.33200e+00,-9.88278e-01,9.30272e-01
1.05000e+01,1.47272e+00,-1.06107e+00,3.61953e-01
1.06500e+01,1.55201e+00,-1.09113e+00,5.19917e-02
1.08000e+01,1.56687e+00,-1.07697e+00,5.09335e-02
1.09500e+01,1.51695e+00,-1.01889e+00,3.59022e-01
1.11000e+01,1.40459e+00,-9.19022e-01,9.26149e-01
1.12500e+01,1.23468e+00,-7.81175e-01,1.66001e+00
1.14000e+01,1.01449e+00,-6.10746e-01,2.44113e+00
1.15500e+01,7.53328e-01,-4.14476e-01,3.14230e+00
1.17000e+01,4.62178e-01,-2.00186e-01,3.64929e+00
1.18500e+01,1.53237e-01,2.35412e-02,3.87947e+00
1.20000e+01,-1.60597e-01,2.47707e-01,3.79524e+00
1.21500e+01,-4.66256e-01,4.63264e-01,3.41017e+00
1.23000e+01,-7.51041e-01,6.61483e-01,2.78683e+00
1.24500e+01,-1.00315e+00,8.34309e-01,2.02655e+00
1.26000e+01,-1.21218e+00,9.74689e-01,1.25304e+00
1.27500e+01,-1.36950e+00,1.07687e+00,5.92154e-01
1.29000e+01,-1.46870e+00,1.13661e+00,1.51481e-01
1.30500e+01,-1.50576e+00,1.15139e+00,2.80706e-03
1.32000e+01,-1.47926e+00,1.12049e+00,1.70427e-01
1.33500e+01,-1.39046e+00,1.04503e+00,6.27184e-01
1.35000e+01,-1.24317e+00,9.27933e-01,1.29888e+00
1.36500e+01,-1.04367e+00,7.73800e-01,2.07634e+00
1.38000e+01,-8.00391e-01,5.88730e-01,2.83315e+00
1.39500e+01,-5.23594e-01,3.80075e-01,3.44626e+00
1.41000e+01,-2.24925e-01,1.56143e-01,3.81595e+00
1.42500e+01,8.30588e-02,-7.41382e-02,3.88208e+00
1.44000e+01,3.87419e-01,-3.01582e-01,3.63389e+00
1.45500e+01,6.75367e-01,-5.17113e-01,3.11172e+00
1.47000e+01,9.34805e-01,-7.12134e-01,2.40045e+00
1.48500e+01,1.15482e+00,-8.78876e-01,1.61573e+00
1.50000e+01,1.32614e+00,-1.01071e+00,8.85146e-01
